,video_title,video_like,video_forward,video_comment,video_user,video_fans,video_whole_like,video_comment_male_rate,video_url,video_comment_female_rate,goods_name,goods_price,goods_money_rate,goods_whole_sale,goods_month_sale,goods_thirty_days_transfer_rate,goods_thirty_days_video_num,goods_thirty_days_recommend_person_num,bgm
121,下一代#iphone12提前到 #抖音直播秒杀狂欢节 #直播中 @抖音小助手,366,5,21,膜记匠品,11.7w,41.4w,男 60.00%,,40.00% 女,【苹果全系列】方形液态硅胶壳,¥12.90,0.00%,"9,477","9,034",7.69%,5,5,旧梦一场 (舞曲版) - 敏少
122,你在用#苹果手机 吗？这个1.1的#苹果钢化膜 可以备用，可以练#手机贴膜 #华为手机 #iphone钢化膜,130,0,51,买家张俊,6.3w,52.4w,男 100.00%,https://www.iesdouyin.com/share/video/6849676721646587151/?region=CN&mid=6849676732665318158&u_code=0&titleType=title,0.00% 女,iphonex防窥钢化膜11pro苹果x防偷窥xr防偷瞄xs防透窥max隐私promax全屏7/8plus覆盖7P防偷窃8P手机膜偷窥,¥1.10,90.00%,19.8万,4万,12.22%,202,202,"Astronomia (Santti, Dan K Remix) - Tony Igy"
123,∠( ᐛ 」∠)＿#钢化膜 #717抖音奇妙好物市集,46,0,4,鑫鑫种草推荐,"1,085","1,530",男 50.00%,https://www.iesdouyin.com/share/video/6850673708743331087/?region=CN&mid=6802867729582786562&u_code=0&titleType=title,50.00% 女,iphonex防窥钢化膜11pro苹果x防偷窥xr防偷瞄xs防透窥max隐私promax全屏7/8plus覆盖7P防偷窃8P手机膜偷窥,¥1.10,90.00%,19.8万,4万,12.22%,202,202,Horizon - Janji
124,#捡漏 #商家你睡了吗 这样真的不亏吗？贴坏还包赔#钢化膜 #iphone #盘他就完了,25,0,8,xinerhaowu,0,0,男 40.00%,,60.00% 女,iphonex防窥钢化膜11pro苹果x防偷窥xr防偷瞄xs防透窥max隐私promax全屏7/8plus覆盖7P防偷窃8P手机膜偷窥,¥1.10,90.00%,19.8万,4万,12.22%,202,202,Horizon - Janji
125,爱你我活该受折磨,35,0,1,爆笑小姐姐好物,7.3w,"7,436",男 %,https://www.iesdouyin.com/share/video/6851402641080061187/?region=CN&mid=6808993359441890060&u_code=5bh4f5llm1i&titleType=title,% 女,iphonex防窥钢化膜11pro苹果x防偷窥xr防偷瞄xs防透窥max隐私promax全屏7/8plus覆盖7P防偷窃8P手机膜偷窥,¥1.10,90.00%,19.8万,4万,12.22%,202,202,怎么做怎么过怎么活 (DJ弹鼓版) - 蒋先生
126,夏天不穿裙子的男生，一定要有一条冰丝西裤啊，太凉快百搭了#穿搭#夏天 #男生,8.9w,"1,120",136,林帆裤行 79 两 条,"6,697",16.5w,男 %,https://www.iesdouyin.com/share/video/6851462948188114189/?region=CN&mid=6851462962188700424&u_code=0&titleType=title,% 女,超滑顺滑冰丝裤-【超合适胖哥哥的显瘦裤子】,¥49.00,0.00%,1.3万,1.2万,5.07%,1,1,A Thousand Miles - Josh Vietti
127,包邮19块9哦，持久留香卡片口袋香水。#香水 @抖音小助手 #我的3d酷照,5,0,0,新罐沸岩,1.1w,"2,502",男 %,https://www.iesdouyin.com/share/video/6851814455412641024/?region=CN&mid=6770214938876053505&u_code=2426li2ijbl9&titleType=title,% 女,小众香不撞香 卡片口袋香水 持久清新留香,¥19.90,1.00%,1.8万,1.7万,6.02%,1,1,Natural - Imagine Dragons
128,我要的爱❤️只在你身上存在，余生都是你，未来可期#毛绒玩具 @DOU+小助手 @抖音小助手 #热门#礼物,4.3w,"3,265","2,024",保定菲菲毛绒玩具,17.1w,56.9w,男 28.32%,https://www.iesdouyin.com/share/video/6851370054055922959/?region=CN&mid=6847745709240748039&u_code=0&titleType=title,71.68% 女,情侣趴趴兔余生有你开心每一天,¥39.00,0.00%,"9,093","8,489",4.38%,3,3,爱 存在 (DJ版) - 未知
129,未来的日子我希望每天睁眼看到你，余生都是你#717奇妙好物在这里 @DOU+小助手 @抖音小助手 #热门,"1,182",120,52,保定菲菲毛绒玩具,17.1w,56.9w,男 26.32%,https://www.iesdouyin.com/share/video/6851131977198816512/?region=CN&mid=6851131989756480263&u_code=0&titleType=title,73.68% 女,情侣趴趴兔余生有你开心每一天,¥39.00,0.00%,"9,093","8,489",4.38%,3,3,后继者 - 任然
130,看到最后、你绝对会爱上它～看完你最想艾特谁～#礼物#717奇妙好物在这里 @DOU+小助手 @抖音小助手,403,17,24,保定菲菲毛绒玩具,17.1w,56.9w,男 22.22%,https://www.iesdouyin.com/share/video/6851164711136824576/?region=CN&mid=6851164723614976776&u_code=0&titleType=title,77.78% 女,情侣趴趴兔余生有你开心每一天,¥39.00,0.00%,"9,093","8,489",4.38%,3,3,还有我 - 悦开心
